,,,Original Feat,,Non-time dependencies,,
Subject,Phase_vs_phase,model,AUC,F1,AUC,F1,
260,KMeans,phase1_vs_phase3,0.508346783,0.430722947,0.505273224,0.554371002,0.003073559
260,KMeans,phase1_vs_phase4,0.500094856,0.452556054,0.500016276,6.51E-05,7.858E-05
260,KMeans,phase1_vs_phase5,0.525344637,0.400553157,0.500016276,6.51E-05,0.025328361
260,GaussianMixture,phase1_vs_phase2,0.817945933,4.00E-05,0.500016276,6.51E-05,0.317929657
260,GaussianMixture,phase1_vs_phase3,0.576476566,0.211409021,0.512342552,0.168633886,0.064134014
260,GaussianMixture,phase1_vs_phase4,0.996663411,0.006705482,0.500016276,6.51E-05,0.496647135
260,GaussianMixture,phase1_vs_phase5,0.891425924,0,0.500016276,6.51E-05,0.391409648
261,Birch,phase1_vs_phase2,0.502281373,0.543654527,0.500016276,6.51E-05,0.002265097
261,Birch,phase1_vs_phase3,0.510918496,0.561079965,0.500016276,6.51E-05,0.01090222
261,Birch,phase1_vs_phase4,0.521407908,0.575041247,0.500016276,6.51E-05,0.021391632
261,Birch,phase1_vs_phase5,0.520444841,0.098868155,0.501826715,0.06589313,0.018618126
261,KMeans,phase1_vs_phase2,0.503101243,0.470610562,0.502281635,0.067715959,0.000819608
261,KMeans,phase1_vs_phase3,0.512423012,0.542650231,0.500418839,0.057593229,0.012004173
261,KMeans,phase1_vs_phase4,0.50175536,0.470885201,0.500016276,6.51E-05,0.001739084
261,KMeans,phase1_vs_phase5,0.510405125,0.543334355,0.502323987,0.069255368,0.008081138
261,GaussianMixture,phase1_vs_phase2,0.508257009,0.529639054,0.500016276,6.51E-05,0.008240733
261,GaussianMixture,phase1_vs_phase3,0.513248481,0.472665993,0.51120623,0.654817858,0.002042251
261,GaussianMixture,phase1_vs_phase4,0.509088976,0.47092508,0.500016276,6.51E-05,0.0090727
261,GaussianMixture,phase1_vs_phase5,0.598415596,0.451048951,0.512746653,0.630277239,0.085668943
263,Birch,phase1_vs_phase2,0.501808187,0.009001189,0.500016276,6.51E-05,0.001791911
263,Birch,phase1_vs_phase3,0.50183966,0.008618195,0.500016276,6.51E-05,0.001823384
263,Birch,phase1_vs_phase4,0.503921374,0,0.500016276,6.51E-05,0.003905098
263,Birch,phase1_vs_phase5,0.503971012,0,0.500016276,6.51E-05,0.003954736
263,KMeans,phase1_vs_phase2,0.52771387,0.502246181,0.545095797,0.3142275,-0.017381927
263,KMeans,phase1_vs_phase3,0.515162791,0.561992308,0.522378761,0.361717016,-0.007215969
263,KMeans,phase1_vs_phase4,0.50281154,0.45801254,0.500016276,6.51E-05,0.002795264
263,KMeans,phase1_vs_phase5,0.500472278,0.540855093,0.500016276,6.51E-05,0.000456002
263,GaussianMixture,phase1_vs_phase2,0.529952447,0.506757996,0.515560398,0.129733598,0.014392049
263,GaussianMixture,phase1_vs_phase3,0.521595087,0.582462387,0.508048991,0.57855709,0.013546096
263,GaussianMixture,phase1_vs_phase4,0.999983724,3.28E-05,0.500016276,6.51E-05,0.499967448
263,GaussianMixture,phase1_vs_phase5,0.516985338,0.464366814,0.500016276,6.51E-05,0.016969062
264,Birch,phase1_vs_phase2,0.554469067,0.203428305,0.500016276,6.51E-05,0.054452791
264,Birch,phase1_vs_phase3,0.532554413,0.463921591,0.50409951,0.658680758,0.028454903
264,Birch,phase1_vs_phase4,0.549480791,0.618287818,0.500016276,6.51E-05,0.049464515
264,Birch,phase1_vs_phase5,0.540885593,0.609459005,0.500016276,6.51E-05,0.040869317
264,KMeans,phase1_vs_phase2,0.502121896,0.473126419,0.503861833,0.086758402,-0.001739937
264,KMeans,phase1_vs_phase3,0.501026863,0.527831094,0.502873852,0.082260974,-0.001846989
264,KMeans,phase1_vs_phase4,0.525652123,0.557508697,0.500016276,6.51E-05,0.025635847
264,KMeans,phase1_vs_phase5,0.515810416,0.545474171,0.501514302,0.072138854,0.014296114
